"Num","Title","Type","Specialisations","Categories","Supervisor","Prerequisites","Summary","File"
"56","Automating clinical trials using NLP and synchronous programming","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Embedded Systems; Web tools and Application","Partha Roop","None","Setting up the digital platforms, including the software architecture and databases is a manual; process, which is both time consuming and error prone. Also, ensuring that the ethics approved; protocol is adhered to has to be ensured using testing. Can this be mitigated?; We take our inspiration fro...","56_Automating_clinical_trials_using_NLP_and_synchronous_programming.html"
"57","A deterministic networking platform using Google bittide","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Control Systems; Embedded Systems","Partha Roop","1) Good background in software / hardware design; 2) Interest in distribted systems","We have received funding from Google to collaborate on a new protocol for data centres called bittide. Bittide is a novel architecture for distributed systems, proposed by Google. Bitide is a physical layer ptotocol, which achieves ""logical synchrony"", without the need for actual clock synchronisati...","57_A_deterministic_networking_platform_using_Google_bittide.html"
"58","Stress Monitoring and Quantification through Digital Biomarkers","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Software Development Tools and Processes 1","Partha Roop","None","Wearable smart watches are increasingly being used for the detection of different health conditions by using machine-learning models to make inferences. We are, in particular, interested in the UoA developed MoodAI platform, which is developed for real-time mood state classification, based on the da...","58_Stress_Monitoring_and_Quantification_through_Digital_Biomarkers.html"
"59","Investigating inclusion of software engineering tools and practices","Undergraduate","Software Engineering","Software Development Tools and Processes 1; Software Development Tools and Processes 2","Kelly Blincoe","None","The software industry lacks diversity. Recent research has theorised that software development tools can have inbuilt biases, making them easier to use for people who think in a certain way. For example, GitHub, a commonly used software tool, has been found to have missing information, unclear termi...","59_Investigating_inclusion_of_software_engineering_tools_and_practices.html"
"60","Blockchain-Enhanced Roaming Contracts: Integrating Consensus and Semantic Engines for Mobile Networks Operators Service Optimization","Undergraduate","Software Engineering","Intelligent Systems & Industrial Informatics; Telecommunications","Dev Singh","None","The project is an exploration into the integration of blockchain technology with the service; delivery of Mobile Network Operators (MNOs) and Network providers struggling with the data roaming problem. It; focuses on the development of a consensus engine and a semantic engine to manage roaming contr...","60_BlockchainEnhanced_Roaming_Contracts_Integrating_Consensus_and_Semantic_Engines_for_Mobile_Networks_Operators_Service_Optimization.html"
"61","Plant monitoring system to estimate harvesting timing","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Image & Voice Processing; Robotics","Ho Seok Ahn","None","This project will develop a system to monitor the changes of plant growing. We have a working version that detects target, which is tomato, and measures its size and volume. May need to train Deep Neural Network (DNN) models to improve the accuracy of existing methods, detect disease and measure its...","61_Plant_monitoring_system_to_estimate_harvesting_timing.html"
"62","IPT and CV enabled UAV for inaccessible urban gardens","Undergraduate","Computer Systems Engineering","AI & Machine learning; Embedded Systems; Robotics; Wireless Power Technologies","Ho Seok Ahn","None","As humans increasingly relocate to cities and urban environments become denser, an opportunity emerges to grow plants in areas that receive a good amount of natural light but are not easily accessible by humans. The sides of large buildings, rooftops, or other hard to reach places could be planted w...","62_IPT_and_CV_enabled_UAV_for_inaccessible_urban_gardens.html"
"63","Web-Based Device Management Application for Robotics and IoT","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Embedded Systems; Robotics","Ho Seok Ahn","None","This project aims to develop a sophisticated web-based application for the management of various devices, particularly focusing on robotics and IoT (Internet of Things) devices. The core functionality of this application encompasses streaming video data, sensor data management, and deploying softwar...","63_WebBased_Device_Management_Application_for_Robotics_and_IoT.html"
"64","Dynamic Facial Expression Generation for Head Robots with Adaptive Style Control","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Robotics","Ho Seok Ahn","None","Generating dynamic facial expressions for head robots represents a cutting-edge intersection of robotics, artificial intelligence, and human-computer interaction. Traditional methods in facial expression synthesis for robots are often limited by predefined expression ranges or lack the ability to ac...","64_Dynamic_Facial_Expression_Generation_for_Head_Robots_with_Adaptive_Style_Control.html"
"65","Enhancing Human Motion Generation with Flexible Style Control","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Image & Voice Processing; Robotics","Ho Seok Ahn","None","The challenge of generating human-like co-speech gestures represents a fascinating intersection of technology and creativity, offering ample opportunities for student research and innovation. Traditional methods in this domain have often been constrained by rigid style control mechanisms, utilizing ...","65_Enhancing_Human_Motion_Generation_with_Flexible_Style_Control.html"
"66","Optimising Machine Learning Models","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Embedded Systems","Nathan Allen","None","Machine learning models are increasingly becoming larger as we try to capture complex behaviour. However, with this increasing complexity it can become difficult, or even impossible, to run such networks on typical embedded hardware. Instead, what methods can we apply to ""optimise"" these networks to...","66_Optimising_Machine_Learning_Models.html"
"67","Enhancing Music Generation Through Data Augmentation Techniques","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Human Computer Interactions; Software Development Tools and Processes 1","Nathan Allen","None","Music can be beautiful, messy, and emotive, but it almost always tells a story. This story is created by a composer who writes in the language of music. Popular AI models have begun to aid people in writing their own stories by taking in a few words and predicting the next set of words. Can we use A...","67_Enhancing_Music_Generation_Through_Data_Augmentation_Techniques.html"
"68","Improved Cell Balancing Techniques that Co-operate with Regenerative Energy Recovery Systems for Electric Race Cars","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering","Embedded Systems; Power Electronics & Electronics Systems; Transport Technology","Nathan Allen","None","Electric vehicles are becoming a large section of the automotive and motorsport industries. Following this trend, lots of student led Formula SAE racing teams design, build, and compete at international competitions have switched to electric vehicles. There are significant differences between EV and...","68_Improved_Cell_Balancing_Techniques_that_Cooperate_with_Regenerative_Energy_Recovery_Systems_for_Electric_Race_Cars.html"
"69","Analysis of news sources to provide localized disaster information","Undergraduate","Software Engineering","AI & Machine learning; Smart Phone & Tablet Applications","Andrew Meads","None","With the recent weather events in Auckland, and many other recent disasters around the world, there has lacked a central online place where those affected can go to find out specific, up-to-date information (for example, a map of flooding-affected areas and road closures). This information exists on...","69_Analysis_of_news_sources_to_provide_localized_disaster_information.html"
"70","Presentation of disaster news information to different kinds of users","Undergraduate","Software Engineering","Human Computer Interactions; Smart Phone & Tablet Applications","Andrew Meads","None","With the recent weather events in Auckland, and many other recent disasters around the world, there has lacked a central online place where those affected can go to find out specific, up-to-date information (for example, a map of flooding-affected areas and road closures). This information exists on...","70_Presentation_of_disaster_news_information_to_different_kinds_of_users.html"
"71","Image Motion Elimination for Aquaculture Vision","Undergraduate","Software Engineering","AI & Machine learning; Image & Voice Processing","Trevor Gee","Enrolled students should be competent programmers (getting algorithms to work will mean obtaining them from repositories and configuring them in your local environment to get them to work). The theory around the relationship between images and 3D space requires a workable knowledge of linear algebra.","The Centre for Automation and Robotic Engineering Science (CARES) is investigating robot-driven underwater farm (aquaculture) automation. The motivation for this is that aquaculture has the potential to give us the ability to manage our marine resources better. A bottleneck for the uptake of aquacul...","71_Image_Motion_Elimination_for_Aquaculture_Vision.html"
"72","VR and psychophysiological monitoring to develop resilience in Health and Safety training","Undergraduate","Software Engineering","Games & Education Aids 1; Human Computer Interactions","Robert Amor","SOFTENG 350 would be beneficial as a start to the project.","There is an immediate need to develop technologies that can precisely capture the emergence and trajectory of peoples' resilience in high-risk industries. Despite government efforts, high risk industries such as construction continue to lead work-related harm and fatalities. The integration of psych...","72_VR_and_psychophysiological_monitoring_to_develop_resilience_in_Health_and_Safety_training.html"
"73","Identifying intruders on scooters entering carparks","Undergraduate","Software Engineering","AI & Machine learning","Robert Amor","Some knowledge of image processing could be beneficial, but this is not a requirement.","A problem in carparks around Auckland is scooter riders dashing in and out of carparks usually to commit an offence. Surveillance cameras cover the entrances to the carparks, but they don't have automated detection of what is entering or exiting the carpark. This project will look to develop an accu...","73_Identifying_intruders_on_scooters_entering_carparks.html"
"74","Visual LegalRuleML editor with auto-completion","Undergraduate","Software Engineering","AI & Machine learning; Human Computer Interactions; Software Development Tools and Processes 1","Robert Amor","SOFTENG 350 would be useful","Despite the successes and fast improvements in artificial intelligence, the interpretation of legal documents is still a highly manual process. Because of ethical considerations and the missing interpretability of modern deep learning models, to date, the preferred automation methodology is to trans...","74_Visual_LegalRuleML_editor_with_autocompletion.html"
"75","Translating tables of information into a logical representation","Undergraduate","Software Engineering","AI & Machine learning; Software Development Tools and Processes 1","Robert Amor","None","To this day, legal documents are primarily distributed as PDF documents, making it complex for machines to access the content. To automatically check for compliance with legal requirements, a common approach is translating the legal documents into a logical representation, which allows execution by ...","75_Translating_tables_of_information_into_a_logical_representation.html"
"76","Computer Vision Support for Reinforcement Learning Overtaking Maneuvering of a Formula SAE CAR","Undergraduate","Software Engineering","AI & Machine learning; Image & Voice Processing; Robotics","Trevor Gee","Students should be competent Python programmers, able to come to the Lab to work with cameras and equipment, and comfortable with Linear Algebra (computer vision mathematics).","The Formula SAE competition is introducing an autonomous vehicle category. To meet this challenge, we aim to develop a fully autonomous control system that enables the car to learn to drive itself through Reinforcement Learning. Reinforcement Learning is a machine learning approach that seeks to all...","76_Computer_Vision_Support_for_Reinforcement_Learning_Overtaking_Maneuvering_of_a_Formula_SAE_CAR.html"
"77","Can GPTs revolutionize forecasting the hospitalization burden caused by respiratory diseases?","Undergraduate","Software Engineering","AI & Machine learning","Steffen Albrecht","None","Seasonal infectious diseases such as influenza are a reoccurring challenge for healthcare systems worldwide. Besides influenza, several respiratory diseases cause symptoms similar to those caused by influenza, broadly called influenza-like illness or ILI. While most such ILI infections result in mil...","77_Can_GPTs_revolutionize_forecasting_the_hospitalization_burden_caused_by_respiratory_diseases.html"
"78","Virtual reality installation to study embodiment","Undergraduate","Software Engineering","Human Computer Interactions","Danielle Lottridge","SOFTENG350, SOFTENG702","This project involves iteratively refining a participative Unity-based installation where users experience immersive sound and visual feedback with a motion capture suit and VR headset. The immersive application directs gallery-visitors' attention in various ways with sound and particle effects (for...","78_Virtual_reality_installation_to_study_embodiment.html"
"79","Intelligent body tracking and agent in Virtual reality to study embodiment","Undergraduate","Software Engineering","AI & Machine learning; Human Computer Interactions","Danielle Lottridge","SOFTENG350, SOFTENG702","This project involves iteratively refining an intelligent body tracking to a Unity-based installation where users experience immersive sound and visual feedback with motion capture and VR headset. The immersive application will display an intelligent agent that mimics variations of the visitor's mov...","79_Intelligent_body_tracking_and_agent_in_Virtual_reality_to_study_embodiment.html"
"80","Mixed reality and electronic prototyping installation to study embodiment","Undergraduate","Software Engineering","Human Computer Interactions","Danielle Lottridge","SOFTENG350, SOFTENG702","This project involves iteratively refining a participative Unity-based installation where users experience immersive sound and visual feedback with a motion capture suit and VR headset. In previous versions, the installation was completly in virtual reality, and this year, we would like to Adruino p...","80_Mixed_reality_and_electronic_prototyping_installation_to_study_embodiment.html"
"81","Immersive Pūrākau: Virtual reality Māori creation story installation to study wellbeing and embodiment","Undergraduate","Software Engineering","Human Computer Interactions","Danielle Lottridge","SOFTENG350, SOFTENG702,; preferred that at least one team member whakapapa Māori","This project involves iteratively refining a participative Unity-based installation where users experience an immersive Pūrākau narrative with a motion capture suit and VR headset.; The project will require facilitating workshops where rangatahi and kaumatua contribute stories to include in the Virt...","81_Immersive_Pūrākau_Virtual_reality_Māori_creation_story_installation_to_study_wellbeing_and_embodiment.html"
"82","Improved filtering for Non-Invasive Blood-Glucose detection","Undergraduate","Computer Systems Engineering","Control Systems; Signal Processing; Smart Phone & Tablet Applications","Nitish Patel","None","The primary objective of this project is to improve the accuracy of results when testing using non&shy;invasive methods to calculate glucose levels. The project aims to design and implement a signal processing and filtering system for an existing non-invasive blood glucose sensor.; Around 415 millio...","82_Improved_filtering_for_NonInvasive_BloodGlucose_detection.html"
"83","A pick-and-place for rapid prototyping","Undergraduate","Computer Systems Engineering","Control Systems; Embedded Systems; Human Computer Interactions","Nitish Patel","None","Modern circuit board designs incorporate surface-mounted electronic components for their smaller sizes and better manufacturability on production lines with industrial pick-and-place machines. Unfortunately for a design engineer tasked with prototyping a board, these machines are too slow to program...","83_A_pickandplace_for_rapid_prototyping.html"
"84","Examining the impact of criticism in software code review","Undergraduate","Software Engineering","Software Development Tools and Processes 1; Software Development Tools and Processes 2","Kelly Blincoe","None","This project will examine the impact of criticism during software code review, particularly destructive v constructive critism, on software code quality. The project may involve collecting data from open source software projects to analyse real code review comments and their impact on code quality. ...","84_Examining_the_impact_of_criticism_in_software_code_review.html"
"86","Designing Dynamically Reconfigurable Factory Automation Systems","Undergraduate","Computer Systems Engineering; Software Engineering","Intelligent Systems & Industrial Informatics","Zoran Salcic","Knowledge (as a union of skills of two students or need to be acquired):; Basics of designing Beckhoff-based control systems with structured text and related development environment; interfacing Beckhoff run-time software with Java (and SystemJ); Preferred, but not compulsory, COMPSYS 704 (second semester)","The project explores fusion of a commercial software for building fixed industrial automation systems (IAS) and novel software paradigm that makes those systems dynamically reconfigurable. Dynamically reconfigurable systems support advanced features of IAS such as dynamic change of the products on t...","86_Designing_Dynamically_Reconfigurable_Factory_Automation_Systems.html"
"87","Novel uses of Digital Twin technology in Industrial Automation Systems","Undergraduate","Computer Systems Engineering; Software Engineering","Intelligent Systems & Industrial Informatics","Zoran Salcic","Basics of designing Beckhoff-based control systems with Structured Text (ST) language and related development environment; interfacing Beckhoff run-time software with Java (and SystemJ); designing control software for Festo workstations and manipulation units (conveyors, diverters, sorters etc); advanced use of Java object oriented paradigm; Preferred, but not compulsory  COMPSYS 704 (second semester)","We are exploring the use of digital twin (DT) ideas in industrial automation systems (IAS). The project has a big level of novelty where the whole IAS will be based on the use of three types of DTs: (1) DTs of workpiece which after completion of the ""recipe"" becomes a final product, DTs of workstati...","87_Novel_uses_of_Digital_Twin_technology_in_Industrial_Automation_Systems.html"
"88","ReactiveNiOS - an execution platform for concurrent programming of real-time software systems","Undergraduate","Computer Systems Engineering","Embedded Systems","Zoran Salcic","Knowledge (as a union of skills of two students or need to be acquired):; Skills to design digital systems using VHLD and RTL-level specifications, system-level programming for embedded devices using C, ability to develop/extend an existing assembler/compiler to support reactive instruction set; Corequisite is enrolment into COMPSYS 701 (Advanced Digital Design)","A new concurrent programming language called SystemGALS proposed within Embedded Systems Research Group, which can be considered an extension of C programming language, but with formal mathematical foundation, requires new computer platforms to efficiently execute concurrent programs that mix reacti...","88_ReactiveNiOS_an_execution_platform_for_concurrent_programming_of_realtime_software_systems.html"
"89","Designing a heterogeneous multiprocessor on chip for combined reactive and data dominated real-time systems","Undergraduate","Computer Systems Engineering","Embedded Systems","Zoran Salcic","Knowledge (as a union of skills of two students or need to be acquired):; Skills to design digital systems using VHLD and RTL-level specifications, system-level programming for embedded devices using C, ability to develop/extend an existing assembler/compiler to support reactive instruction set; Corequisite is enrolment into COMPSYS 701 (Advanced Digital Design)","The project focuses on the development of a time-predictable computer architecture that incorporates traditional and custom processors, as well as application-specific processors. The platform will be suitable for combined control- and data-dominated embedded systems that rely on ability to deal wit...","89_Designing_a_heterogeneous_multiprocessor_on_chip_for_combined_reactive_and_data_dominated_realtime_systems.html"
"90","Tangible AR for Data Structure Teaching","Undergraduate","Computer Systems Engineering; Software Engineering","Games & Education Aids 1; Games & Education Aids 2; Human Computer Interactions","Burkhard Wuensche","Good self-learning abilities (get familiar with AR/VR authoring tools and libraries for object detection and tracking); Interested in new technologies; Familiarity, or an interest in game development; Creativity; Proactive and able to work to deadlines (ethics deadlines, user study)","Multi-modal learning uses multiple representations and interactions for supporting learning. For example, mathematics can be taught by using number representations, symbols (Latin numbers), or objects (both physical and virtual). It has been shown that many students learn better by using multiple re...","90_Tangible_AR_for_Data_Structure_Teaching.html"
"91","Poison is Not Traceless: Fully-Agnostic Detection of Poisoning Attacks","Undergraduate","Software Engineering","AI & Machine learning","Joerg Wicker","Experience in Python programming is essential. Prior understanding of machine learning concepts will be an advantage. No prior knowledge of adversarial learning and attacks is required.","The performance of machine learning models depends on the quality of the underlying data. Malicious actors can attack the model by poisoning the training data. Current detectors are tied to either specific data types, models, or attacks, and therefore have limited applicability in real-world scenari...","91_Poison_is_Not_Traceless_FullyAgnostic_Detection_of_Poisoning_Attacks.html"
"93","Improving resilience of distribution networks against high-impact-low probability events using artificial intelligence","Undergraduate","Electrical and Electronic Engineering","Power Systems","Nirmal Nair","ELECTENG 731 and 703","Resilience and, in more specific terms, robustness is more relevant now than ever, with the increase of extreme weather events in frequency and intensity due to the effects of climate change. This is especially relevant here in New Zealand, where we are very susceptible to such events as can be seen...","93_Improving_resilience_of_distribution_networks_against_highimpactlow_probability_events_using_artificial_intelligence.html"
"94","Emotion Dashboard Application","Undergraduate","Software Engineering","Human Computer Interactions; Software Development Tools and Processes 1; Software Development Tools and Processes 2; Web tools and Application","Yun Suen Pai","None","The primary goal is to create an intuitive and engaging dashboard web/app that presents users with a visual summary of their emotional states, detected through our ongoing emotion recognition research. This app will serve as a tool for individuals to monitor their emotional health, identify trends, ...","94_Emotion_Dashboard_Application.html"
"95","Connecting Adversarial Learning and Applicability Domain in Cheminformatics","Undergraduate","Software Engineering","AI & Machine learning","Joerg Wicker","Experience in Python programming is essential. Prior understanding of machine learning concepts will be an advantage. No prior knowledge of adversarial learning and applicability domain is required.","The chemical molecule space is gigantic, and machine learning (ML) models predicting molecule properties are typically developed for small and specific applications within that space. One example is the field of drug discovery where models help to focus experimental efforts on only the most promisin...","95_Connecting_Adversarial_Learning_and_Applicability_Domain_in_Cheminformatics.html"
"96","Investigating Autobiographical Memory Retrieval and Emotion Induction in Virtual Reality","Undergraduate","Software Engineering","AI & Machine learning; Human Computer Interactions; Signal Processing","Yun Suen Pai","None","Emotions significantly influence human behaviour, affecting cognition, decision-making, attention, perception, and learning. These emotions are often shaped by social interactions, past experiences, and autobiographical memory (AM)&mdash;a construct of self-referential and emotional processes. With ...","96_Investigating_Autobiographical_Memory_Retrieval_and_Emotion_Induction_in_Virtual_Reality.html"
"97","Grid-supporting and Grid-forming Microgrids","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering","Green Energy Technologies; Power Systems","Nirmal Nair","Ideally, atleast one of the student enrolled for ELECTENG 731 and/or ELECTENG 703","Grid-interconnection of BESS (Battery Energy Storage Systems) to MV/LV distribution network would impact the distribution network voltage profile, thermal loading, power flow, safety, and protection. Grid-interconnections standards and guidelines mandate the interconnection requirements to regulate ...","97_Gridsupporting_and_Gridforming_Microgrids.html"
"98","Streamlining adversarial machine learning on Memento","Undergraduate","Software Engineering","AI & Machine learning","Joerg Wicker","Experience in Python programming is essential. Prior understanding of machine learning concepts will be an advantage. No prior knowledge of adversarial learning and applicability domain is required.","Running complex sets of machine learning experiments is challenging and time-consuming due to the lack of a unified framework. This leaves researchers forced to spend time implementing necessary features such as parallelization, caching, and checkpointing themselves instead of focussing on their pro...","98_Streamlining_adversarial_machine_learning_on_Memento.html"
"99","Enhancing Manufacturing Quality with AI-Powered Vision Systems","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning; Image & Voice Processing; Intelligent Systems & Industrial Informatics","Mahla Nejati","None","Ensuring consistent quality in manufacturing lines can be a challenge. This is where vision systems with AI come in, offering a potential solution to streamline quality control and improve overall consistency.; Fisher & Paykel Healthcare is looking to conduct research into the viability of using dev...","99_Enhancing_Manufacturing_Quality_with_AIPowered_Vision_Systems.html"
"100","3D scanner","Undergraduate","Software Engineering","AI & Machine learning; Image & Voice Processing","Trevor Gee","Students should be competent Python programmers, as well as have a workable understanding of linear algebra.","Your mission in this project is to construct an indoor 3D scanner using a robot arm (; link; ). You will experiment with two camera systems: a calibrated stereo pair and a structured lighting Zivid (; link; ).; Note that coming into the project, you will be provided with all the software you need to...","100_3D_scanner.html"
"101","Improving the vision system for disease detection","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","AI & Machine learning; Embedded Systems; Image & Voice Processing; Robotics","Mahla Nejati","None","This project builds upon the previous part 4 project focused on disease detection using machine learning. A notable gap in the prior work was its sensitivity to lighting conditions. In the previous proposal, a multispectral camera was employed to identify spider mites on beans, with handheld Halogen...","101_Improving_the_vision_system_for_disease_detection.html"
"102","Fault Induced Delayed Voltage Recovery in Active Electricity Distribution Networks","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering","Power Systems","Nirmal Nair","At least one student preferable to be enrolled in ELECTENG 731 and/or ELECTENG 703","Fault Induced Delayed Voltage Recovery (FIDVR); is a well-understood issue with various solution strategies known for transmission systems.; Due to  well established IEC 61850 implementation methods, smarter solutions for FIDVR are now deployed in transmission networks across the world.; However, fo...","102_Fault_Induced_Delayed_Voltage_Recovery_in_Active_Electricity_Distribution_Networks.html"
"103","RythmWalker – A Mobile AR Rhythm Game for Promoting Physical Activity","Undergraduate","Computer Systems Engineering; Software Engineering","Games & Education Aids 1; Games & Education Aids 2; Human Computer Interactions","Burkhard Wuensche","Students must own suitable mobile phones for development (preferable Android); Good self-learning abilities (get familiar with a game development tools and mobile AR); Good programming skills; Interested in new technologies; Creativity; Proactive and able to work to deadlines (ethics deadlines, user study)","Music is a powerful motivator and is extensively used in gyms to make exercises more enjoyable and motivational. Music rhythm can help to increase physical activity by encouraging users to perform exercises, such as running, with the rhythm of the music. Several rhythm games, such as Dance Dance Rev...","103_RythmWalker_A_Mobile_AR_Rhythm_Game_for_Promoting_Physical_Activity.html"
"104","AR/VR Perceptual Training","Undergraduate","Computer Systems Engineering; Software Engineering","Games & Education Aids 1; Games & Education Aids 2; Human Computer Interactions","Burkhard Wuensche","Good self-learning abilities (get familiar with a game development tool); Interested in new technologies; Familiarity, or an interest in game development; Creativity; Suggest and implement design approaches that maximise benefits for the end user; Proactive and able to work to deadlines (ethics deadlines, user study)","Perceptual abilities can be affected by various conditions and also naturally decline with age. However, it has been shown that perceptual training can be used to mitigate decline and for rehabilitation.; AR and VR are increasingly being used to diagnose, treat and manage a wide range of health issu...","104_ARVR_Perceptual_Training.html"
"105","Sustainable computing of machine learning and data science jobs","Undergraduate","Computer Systems Engineering; Software Engineering","Parallel & Cloud Computing","Oliver Sinnen","None","When an algorithm is processing some data, e.g. numbers are sorted, an image is filters or a neural network is trained, the foremost objective has been to do as this fast as possible. For decades new processors have become faster, by executing more operations per second, and new algorithms have been...","105_Sustainable_computing_of_machine_learning_and_data_science_jobs.html"
"106","Column generation algorithm for task scheduling in parallel systems","Undergraduate","Computer Systems Engineering; Software Engineering","Parallel & Cloud Computing","Oliver Sinnen","None","Today, virtually all computers are parallel systems with multiple processors. To efficiently use such a system it is crucial to carefully map and schedule the tasks of a program onto the processors. This is a very hard optimisation problem and can be described as a Mixed Integer Linear Program (MILP...","106_Column_generation_algorithm_for_task_scheduling_in_parallel_systems.html"
"107","VR Bicycle Safety Perception And Training","Undergraduate","Computer Systems Engineering; Software Engineering","Games & Education Aids 1; Games & Education Aids 2; Human Computer Interactions","Burkhard Wuensche","Good self-learning abilities (get familiar with a game development tool); Interested in new technologies; Familiarity, or an interest in game development; Creativity; Suggest and implement design approaches that maximise benefits for the end user; Proactive and able to work to deadlines (ethics deadlines, user study); Able to use an exerbike (no impairments or health issues preventing moderate to strenuous physical activity)","Globally, metropolitan cities are rushing towards Net Zero Emissions by 2030. Use of active mode is becoming easier with new micro-mobility modes such as scooters and e-bikes. Despite these changes, a large proportion of the population in car-centric cities do not cycle. Changes in infrastructure ar...","107_VR_Bicycle_Safety_Perception_And_Training.html"
"108","Drone-based wireless sensor network with battery-less sensors","Undergraduate","Computer Systems Engineering","Intelligent Systems & Industrial Informatics; Radio Systems","Kevin I-Kai Wang","None","RFID tags have been used as ID tokens in many applications. The project aims to explore the potential of using RFID technology as a basis for battery-less transient power sensor nodes for various sensing applications, where retrieving sensor nodes or replacing batteries are impossible. The end goal ...","108_Dronebased_wireless_sensor_network_with_batteryless_sensors.html"
"109","A digital twin for Lake Waikare using distributed wireless sensors","Undergraduate","Computer Systems Engineering","Embedded Systems; Intelligent Systems & Industrial Informatics","Kevin I-Kai Wang","None","Lake Waikare (Hamilton, Wakaito) is a heavily polluted lake in the North Island. Intensive farming has caused excessive level of nitrogen and phosphorus to build up which caused negative impact on the aquatic life. The project aims to use sensors deployed on an autonomous watercraft to collect spati...","109_A_digital_twin_for_Lake_Waikare_using_distributed_wireless_sensors.html"
"110","mmWave based human activity recognition","Undergraduate","Computer Systems Engineering","Human Computer Interactions; Image & Voice Processing","Kevin I-Kai Wang","None","mmWave is an emerging technology and has several benefits in comparison to existing sensors. However, it is currently rarely used for smart environment applications. This project aims to explore the capability of mmWave radar for the purpose of performing various types of indoor human activity recog...","110_mmWave_based_human_activity_recognition.html"
"111","AR Piano Tutor","Undergraduate","Computer Systems Engineering; Software Engineering","Games & Education Aids 1; Games & Education Aids 2; Human Computer Interactions","Burkhard Wuensche","Good self-learning abilities (get familiar with a game development tool); Interested in new technologies; Familiarity, or an interest in developing 3D content; Creativity; At least one group member should have at least beginner level skills in playing piano; Proactive and able to work to deadlines (ethics deadlines, user study)","Music is an important way for humans to express themselves, unite, relate, and gain enjoyment. While many people desire for themselves, or their loved ones, to achieve some form of musical prowess, the discipline remains encumbered by low motivation and high dropout rates. This is despite long estab...","111_AR_Piano_Tutor.html"
"112","Universal Smart Home Interface: Custom Gesture Control in Augmented Reality","Undergraduate","Computer Systems Engineering","AI & Machine learning; Human Computer Interactions; Smart Phone & Tablet Applications; Software Development Tools and Processes 1","Kevin I-Kai Wang","None","This project focuses on the development of user interaction in Augmented Reality (AR) by providing a highly customizable and user-friendly application that leverages the power of AR to enhance users' interaction with smart home devices in the field of Computer Human Interaction.; Users will initiate...","112_Universal_Smart_Home_Interface_Custom_Gesture_Control_in_Augmented_Reality.html"
"113","Enhancing Cybersecurity in Digital Substations: An Investigation into the Practical Application of Intrusion Detection Systems","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering; Software Engineering","Power Systems","Nirmal Nair","None.","Digital substations represent a significant advancement in the modernization of power systems infrastructure, leveraging technologies to enhance efficiency, reliability, and monitoring capabilities. Unlike conventional substations architectures that rely on point-to-point wiring, digital substations...","113_Enhancing_Cybersecurity_in_Digital_Substations_An_Investigation_into_the_Practical_Application_of_Intrusion_Detection_Systems.html"
"114","Testing Common Software Vulnerability Patches","Undergraduate","Software Engineering","Software Development Tools and Processes 1; Software Development Tools and Processes 2","Valerio Terragni","None","There is a large and growing number of software vulnerabilities being discovered and reported, resulting in CVE (common vulnerability exposure) entries in the National Vulnerability Database (NVD). In open source projects, CVEs are usually quickly addressed with patch commits, and subsequent release...","114_Testing_Common_Software_Vulnerability_Patches.html"
"115","Towards a Framework to Improve and Validate Source Code generated by Large Language Models","Undergraduate","Software Engineering","AI & Machine learning; Software Development Tools and Processes 1; Software Development Tools and Processes 2","Valerio Terragni","None","In recent years Large Language Models (e.g., ChatGPT) are showing extraordinary performance. Many Software Engineering researchers around the world are now investigating how to exploit LLMs to automating software engineering tasks like source code or test case generation, showing promising results. ...","115_Towards_a_Framework_to_Improve_and_Validate_Source_Code_generated_by_Large_Language_Models.html"
"116","Towards Automated Behaviour-Driven Development","Undergraduate","Software Engineering","AI & Machine learning; Software Development Tools and Processes 1; Software Development Tools and Processes 2","Valerio Terragni","None","Behaviour-Driven Development (BDD) is a collaborative software development methodology involving developers, QA professionals, and non-technical stakeholders. It centres on constructing human-readable scenarios in Gherkin, detailing the desired system behaviour. Selenium test cases, specifically des...","116_Towards_Automated_BehaviourDriven_Development.html"
