"Num","Title","Type","Specialisations","Categories","Supervisor","Prerequisites","Summary","File"
"15","An Automated Assessment Grader using ChatGPT","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning; Games & Education Aids 1","Duleepa Thrimawithana","None","This project aims to investigate the use of an LLM to help grade student assessments, specially open ended assessments, similar to the once used in design courses. The students will first investigate the use of ChatGPT, and compare this against other LLMs. Using the ChatGPT API, students will look a...","15_An_Automated_Assessment_Grader_using_ChatGPT.html"
"16","DC Protection Schemes based Improvement of Reliability of HVDC Systems","Undergraduate","Electrical and Electronic Engineering","Power Systems","Abhisek Ukil","None","HVDC is an alternative technology to AC for transmission of power over long distances, and also commonly used for interconnections. It is a relatively new technology, first implemented in the 1950s. Protection technology for DC uses is not as mature as for AC technology, which negatively impacts its...","16_DC_Protection_Schemes_based_Improvement_of_Reliability_of_HVDC_Systems.html"
"17","Can AI help detect biases affecting the reliability of Open Source documentation?","Undergraduate","Software Engineering","AI & Machine learning; Software Development Tools and Processes 1; Software Development Tools and Processes 2","Kelly Blincoe","None","Previous research has indicated a gender bias in how contributors act, but is the reliability of the surrounding documentation also affected? We want to investigate whether there are biases in Open Source documentation that impede accuracy and compare it to AI summarised and generated documentation,...","17_Can_AI_help_detect_biases_affecting_the_reliability_of_Open_Source_documentation.html"
"18","Online platform to enhance student CV work experience and project sections","Undergraduate","Software Engineering","Games & Education Aids 1; Web tools and Application","Andrew Meads","None","We aim to address the persistent challenges faced by students in effectively communicating their work experience and projects in crucial sections of CVs. Acknowledging the essential role CVs play in the initial screening rounds conducted by companies, we recognize that subpar work experience and pro...","18_Online_platform_to_enhance_student_CV_work_experience_and_project_sections.html"
"19","Investigation of laser powered drone integration techniques","Undergraduate","Electrical and Electronic Engineering","Wireless Power Technologies","Jackman Lin","None","Different methods of energy delivery are become of interest as wireless power transfer technology applications grow. Laser Power Transfer (LPT) is a method of deliverying energy to a load with high directionality and range. One such application for LPT is to deliver energy to a drone in flight, redu...","19_Investigation_of_laser_powered_drone_integration_techniques.html"
"20","Web application tool for technical interview preparation","Undergraduate","Software Engineering","AI & Machine learning; Software Development Tools and Processes 1; Software Development Tools and Processes 2; Web tools and Application","Yu-Cheng Tu","None","This research initiative focuses on leveraging artificial intelligence to change the way students prepare for technical interviews in the software industry. Recognizing the need of algorithmic and data structure questions in hiring processes, our project aims to bridge the gap between theory taught ...","20_Web_application_tool_for_technical_interview_preparation.html"
"21","Investigating improvements of acceleration structures in offline pathtracers","Undergraduate","Computer Systems Engineering","Parallel & Cloud Computing","Oliver Sinnen","None","Typical graphics processing units (GPU's) are optimized for massively parallelised algorithms implemented as shaders, such as the rendering pipeline, which act on sequential memory access, and leverage SIMD capabilities. Path Tracing is a computationally expensive rendering technique that renders sc...","21_Investigating_improvements_of_acceleration_structures_in_offline_pathtracers.html"
"22","Development of low power three-phase IPT system","Undergraduate","Electrical and Electronic Engineering","Wireless Power Technologies","Seho Kim","Electeng 734","With the introduction of wireless power into the consumer electronics in the past 10 years, smaller form factors for lower-power WPT systems are niche cases targeting alternative markets in the robotics and manufacturing industries. Potential use cases include products where wiring and electrical co...","22_Development_of_low_power_threephase_IPT_system.html"
"23","Investigating wireless synchronisation in a bipolar pad WPT system to be used for EV charging","Undergraduate","Electrical and Electronic Engineering","Power Electronics & Electronics Systems; Wireless Power Technologies","Grant Covic","One student at least should be enroleld in Electeng734","While electric vehicles have grown in popularity, their charging solutions take longer than conventional petrol vehicles. Wireless charging aims to reduce these barriers and encourage adoption of EVs among the general public by increasing the convenience of charging. A low-loss system compatible wit...","23_Investigating_wireless_synchronisation_in_a_bipolar_pad_WPT_system_to_be_used_for_EV_charging.html"
"24","Providing patients suffering from cancer or other terminal illnesses with easy to digest information","Undergraduate","Software Engineering","Smart Phone & Tablet Applications; Web tools and Application","David Huang","None","This is a software engineering project that will be centred around the healthcare technology domain. It will involve the research of the effects and challenges faced by patients that are suffering from cancer as well as possibly other terminal illnesses, why those challenges occur, and what solution...","24_Providing_patients_suffering_from_cancer_or_other_terminal_illnesses_with_easy_to_digest_information.html"
